Id,Date,Region,Source,Ship Type,Area,Location,Pollutant,Estimated Litres
434,1-02-2009,Gladstone,Unknown,N-A,Port,Gladstone Marina,Diesel,20
435,3-02-2009,Gladstone,Unknown,N-A,GBR,Capricorn Channel,Unknown,Unknown
436,10-02-2009,Gladstone,Ship,Commercial,Port,North Channel Gladstone Harbour,Diesel,20
437,19-02-2009,Brisbane,Unknown,N-A,Coastal Waters,Wynnum Creek,Sheen,Unknown
438,27-02-2009,Gladstone,Land,N-A,Port,Walby Creek Gladstone,Diesel,1000
439,11-03-2009,Brisbane,Ship,Trading,Territorial sea,Approximatly 7 Nm East Cape Moreton Island,HFO,270
440,4-06-2009,Townsville,Unknown,N-A,GBR,Approximatly 10 Nm South of Palm Island,Discoloured Water ,Unknown
441,8-06-2009,Cairns,Ship,N-A,Port,Endeavour River Cooktown,Diesel,50
442,15-06-2009,Cairns,Ship,Commercial,Coastal Waters,Green Island Jetty,Diesel,200
443,22-06-2009,Cairns,Ship,Fishing,Coastal Waters,Flattery Harbour,Diesel,2000
444,22-06-2009,Townsville,Unknown,N-A,Port,Roos Creek between Reef HQ and marina berths,Diesel,Unknown
445,26-06-2009,Brisbane,Unknown,Commercial,Port,Tangalooma Flyer wharf Holt St Eagle Farm,Sheen,60
446,26-06-2009,Cairns,Land,N-A,Port,Canecutters wharf Innisfail,Oil,Unknown
447,13-07-2009,Mackay,Ship,N-A,Coastal Waters,Outside of Abel Point Marina Pioneer Bay Whitsunday,Lubricating,10
448,15-07-2009,Townsville,Ship,Bulk Carrier,GBR,Inner shipping route from Holborne Is to Palm Is.,Lubricating,200
449,28-07-2009,Cairns,Unknown,N-A,Port,Marlin Marina Cairns,Bilge,35
450,23-08-2009,Gladstone,Unknown,N-A,Port,Mouth of Auckland creek Gladstone Harbour,unknown,Unknown
451,16-09-2009,Brisbane,Unknown,N-A,Port,Brisbane River,Diesel,20
452,18-09-2009,Brisbane,Ship,Commercial,Port,"Fisherman Islands Berth 2, Brisbane",HFO,5
453,27-09-2009,Cairns,Unknown,N-A,Coastal Waters,Clump Point Mission Beach,Sheen,Unknown
454,6-10-2009,Brisbane,Unknown,N-A,Coastal Waters,Wynnum creek,Sheen,Unknown
455,18-10-2009,Mackay,Ship,Commercial,Port,Hay Point,HFO,Unknown
456,23-10-2009,Townsville,Ship,Commercial,Port,Ross river,Hydraulic ,50
457,30-10-2009,Brisbane,Ship,Recreational,Coastal Waters,Weinam creek,Diesel ,50
458,4-12-2009,Townsville,Ship,Commercial,Port,Ross creek,Diesel,2
459,12-12-2009,Cairns,Ship,Commercial,Port,Norman River Karumba,Diesel,Unknown
460,13-12-2009,Brisbane,Unknown,N-A,Coastal Waters,Eastern side of Cleveland Point Moreton Bay,Bilge,Unknown
461,4-01-2010,Gladstone,Unknown,N-A,Port,Auckland creek Gladstone Harbour,Diesel,Unknown
462,5-01-2010,Mackay,Ship,Commercial,Port,Hay Point,HFO,50
463,9-01-2010,Brisbane,Ship,Trading Ship,Port,Fisherman Is Brisbane River,HFO,20
464,18-01-2010,Gladstone,Land,N-A,Coastal Waters,Rosslyn Bay Marina,Engine oil,Unknown
465,20-01-2010,Brisbane,Ship,Recreational,Port,Breakfast creek Brisbane River,Diesel,Unknown
466,2-02-2010,Mackay,Unknown,N-A,Coastal Waters,Shute Harbour Marina,Diesel,Unknown
467,16-02-2010,Brisbane,Unknown,N-A,Port,Tangalooma ferry terminal Brisbane River,unknown,Unknown
468,16-02-2010,Townsville,Unknown,N-A,Port,Ross River ,Sheen,10
469,23-02-2010,Brisbane,Ship,Fishing,Coastal Waters,Mooloolaba Boat Harbour,Diesel,8
470,26-02-2010,Brisbane,Ship,Fishing,Coastal Waters,Tangalooma jetty Moreton Is,Diesel,Unknown
471,18-03-2010,Cairns,Ship,Recreational,Coastal Waters,Yorkeys Knob Marina,Diesel,1000
472,31-03-2010,Brisbane,Ship,Fishing,Coastal Waters,Mooloolaba Boat Harbour,Diesel,Unknown
473,13-04-2010,Gladstone,Unknown,N-A,Port,Gladstone Marina,Diesel ,10
474,14-04-2010,Cairns,Ship,Fishing,Port,Cooktown Harbour,Diesel,20
475,20-04-2010,Gladstone,Ship,Recreational,Port,Mary River Maryborough,Diesel,Unknown
476,21-04-2010,Brisbane,Unknown,N-A,Coastal Waters,Manly Harbour Brisbane,Diesel,Unknown
477,25-04-2010,Brisbane,Ship,Recreational,Coastal Waters,Pacific Harbour Marina Bribie Is,Diesel,Unknown
478,11-05-2010,Townsville,Unknown,N-A,Port,Ross River,Diesel ,Unknown
479,13-05-2010,Cairns,Ship,Commercial,Port,Wharf No. 8 Cairns Port,Diesel,3
480,27-05-2010,Cairns,Ship,Commercial,Port,Masons wharf Cairns Harbour,Diesel,5
481,5-07-2010,Townsville,Unknown,N-A,Port,"Sunferries breakwater terminal, Ross Creek",Diesel,5
482,23-07-2010,Brisbane,Ship,Commercial,Port,"Fisherman Islands Coal Terminal, Brisbane",HFO,30
483,25-07-2010,Brisbane,Unknown,N-A,Coastal Waters,Mooloolaba,Diesel,Unknown
484,28-07-2010,Gladstone,Unknown,N-A,Port,"South Trees West Wharf, Gladstone",Diesel,Unknown
485,13-08-2010,Gladstone ,Land,N-A,Port,"South Trees East Wharf, Gladstone",HFO,100
486,18-08-2010,Townsville,Ship,Recreational,Port,"Breakwater Marina Development site, Townsville",Diesel,300
487,6-09-2010,Brisbane,Land,N-A,Port,"Brisbane River, downstream near CAPR",Diesel,Unknown
488,14-10-2010,Mackay,Ship,Sailling Vessel,Port,Mackay Harbour Entrance,Bilge,Unknown
489,20-10-2010,Brisbale,Unknown,N-A,Port," Pinkenba Reach, Brisbane River",Light Oil,Unknown
490,30-10-2010,Mackay,Unknown,N-A,Coastal Waters,"Blue Bay, Dalphin Pt",Diesel,Unknown
491,2-11-2010,Brisbane,Ship,Recreational,Coastal Waters,"Horizon Shores Marina, Gold Coast",Hydraulic,10
492,7-11-2010,Gladstone,Unknown,N-A,Coastal Waters,"South of India Head, Fraser Island",HFO,Unknown
493,14-11-2010,Cairns,Ship,Commercial,Port,"Meridian Marina, Port Douglas",Diesel ,200
494,18-11-2010,Brisbane,Unknown,N-A,Coastal Waters,"Aquatic Paradise, Moreton Bay",Bilge,Unknown
495,25-11-2010,Brisbane,Ship,Commercial,Port,"John Oxley II Berth, Brisbane River",Hydraulic,20
496,8-12-2010,Cairns,Ship,Commercial,Coastal Waters,Lizard Island,Diesel,120
497,5-01-2011,Cairns,Unknown,N-A,Coastal Waters,"Endeavour River, Cooktown",Diesel,Unknown
498,8-01-2011,Gladstone,Ship,Commercial,Coastal Waters,"China Bay, Curtis Island Gladstone",Hydraulic,10
499,10-01-2011,Gladstone,Ship,Recreational,Coastal Waters,"Garrys Anchorage, Great Sanbds Straits",Petrol,40
500,11-02-2011,Brisbane,Ship,Recreational,Port,"Rivergate Marina, Brisbane River",Diesel,Unknown
501,11-02-2011,Gladstone,Ship,Commercial,Port,"Auckland Pt Wharf, Gladstone Harbour",Diesel,15
502,15-02-2011,Cairns,Unknown,N-A,Coastal Waters,"Smiths Creek, Cairns",Sheen,Unknown
503,15-02-2011,Cairns,Unknown,N-A,Coastal Waters,"Low Isles, north of Cairns",Sheen,Unknown
504,17-02-2011,Brisbane,Ship,Commercial,Port,"Fisherman Islands Berth 3, Brisbane",Hydraulic,Unknown
505,2-03-2011,Cairns,Unknown,N-A,Coastal Waters,"Prince of Wales Island, Torres Strait",Sheen,Unknown
506,4-03-2011,Gladstone,Unknown,N-A,GBR,"10' offshore, 40' south of Bustard Head",HFO,Unknown
507,8-03-2011,Cairns,Ship,Commercial,Coastal Waters,"Great North East, Channel, Torres Straits",HFO,300
508,15-03-2011,Cairns,Unknown,N-A,Coastal Waters,"Trawler Base, Smiths Creek, Cairns",Vegetable,20
509,19-03-2011,Brisbane,Unknown,N-A,Coastal Waters,Mooloolaba Boat Harbour,Diesel,Unknown
510,26-03-2011,Brisbane,Land,N-A,Port,Brisbane River Eagle Farm drain,Tallow ,Unknown
511,28-03-2011,Brisbane,Ship,Fishing,Coastal Waters,Scarbough Boat Harbour,Diesel,Unknown
512,30-03-2011,Brisbane ,Ship,Commercial,Coastal Waters,"Toondah Harbour Ferriy Terminal, Cleveland",Diesel,Unknown
513,6-04-2011,Townsville,Land,N-A,Port,Port of Townsville Sugar Terminal,Diesel,50
514,9-04-2011,Brisbane,Unknown,N-A,Coastal Waters,"North West Channel Bribie Island, Moreton Bay",Sheen,Unknown
515,11-04-2011,Gladstone,Ship,Commercial,Port,North China Bay construction dock Gladstone Harbour,Hydraulic,20
516,19-04-2011,Townsville,Truck in water,N-A,Coastal Waters,"Palm Island Jetty, Palm Island",Diesel,Unknown
517,7-05-2011,Brisbane,Ship,Recreational,Coastal Waters,"Tangalooma Wrecks, Moretion Island",Diesel,Unknown
518,22-05-2011,Mackay,Unknown,N-A,Port,"A Arm, Mackay Marina",Diesel,3
519,12-06-2011,Mackay,Ship,Commercial,Port,"Dalyrymple Bay Coal Terminal, Berth 4",Bilge,Unknown
520,20-06-2011,Mackay,Ship,Commercial,Port,Mackay Harbour Berth 3,Hydraulic,4
521,21-06-2011,Cairns,Ship,N-A,Coastal Waters,"Evans Landing Wharf, Weipa",Diesel,10
522,7-07-2011,Mackay,Ship,Commercial,Port,Hay Point Berth 3 (Dredge Site),Hydraulic ,2
523,10-07-2011,Mackay,Ship,Commercial,Port,Hay Point Berth 3 (Dredge Site),Hydraulic ,2
524,13-07-2011,Gladstone,Unknown,Unknown,Port,"Between Q4 and Q6 beacon's in Quion Ccannel, Gladstone",Sheen,Unknown
525,14-07-2011,Gladstone,Ship,Commercial,Port,"LNG Maritime Offload Facility Curtis Island, Gladstone.",Hydraulic ,20
526,23-07-2011,Gladstone,Unknown,Unknown,Port,Fishermans Landing (Bechtel Barge Ramp) Gladstone, Hydraulic ,5
527,10-08-2011,Mackay,Unknown,Unknown,Port,"Sand Bay, south of Cape Hillsborough and Belmunda areas",Lubricating ,Unknown
528,14-08-2011,Townsville,Ship,Commercial,Port,"Augustus Creek, Nelly Bay, Magnetic Island, Townsville",Diesel ,600
529,16-08-2011,Gladstone,Ship,Commercial,Port,"North Passage Island, Gladstone",Engine ,10
530,16-08-2011,Mackay,Ship,Recreational,Port,"Wharf at Pioneer River, Mackay",Diesel ,Unknown
531,19-08-2011,Cairns,Unknown,Trading,Coastal Waters,"10 nautical miles south of Urqhardt Point, Weipa",HFO,Unknown
532,7-09-2011,Cairns,Unknown,Unknown,Port,Endeovour River Cooktown Harbour,Diesel,Unknown
533,12-09-2011,Mackay,Ship,Commercial,Port,Hay Point Berth 1 (Dredge Site),Hydraulic ,2
534,29-09-2011,Brisbane,Land,N-A,Port,"Eagle St Pier to Stanford Hotel, Town Reach Brisbane River",Diesel,Unknown
535,30-09-2011,Gladstone,Ship,Commercial,Port,Burnett River Bundaberg,Diesel,Unknown
536,10-10-2011,Townsville,Ship,Fishing,Port,"Ross Haven Marina, Ross River Townsville",Bilge,Unknown
537,14-10-2011,Cairns ,Land,N-A,Coastal Waters,Evans Landing Wharf Weipa,Hydraulic ,Unknown
538,14-10-2011,Gladstone,Ship,Commercial,Port,North Passage Isl Up stream of Fishermans Landing,Hydraulic ,200
539,23-10-2011,Cairns,Ship,Commercial,Coastal Waters,Vacinity of Howick Island Group (FNQ),Diesel,400
540,28-10-2011,Brisbane,Ship,Commercial,Port,Scarborough Marina (Morgans Seafood),Bilge,Unknown
541,31-10-2011,Gladstone,Land,N-A,Port,GLNG MOF Pioneer Barge Ramp south of China Bay Curtis Island,Coolant,50
542,2-11-2011,Gladstone,Land,N-A,Port,GLNG MOF south of China Bay Curtis Island,Hydraulic ,Unknown
543,21-11-2011,Gladstone,Ship,Commercial,Port,"North Passage, China Bay",Hydraulic ,50
544,23-11-2011,Brisbane,Unknown,Unknown,Port,"28 Anchorage Drive, Cleveland (canal behind residence)",Sheen,Unknown
545,28-11-2011,Mackay,Ship,Fishing,Port,"Pioneer River, Mackay (Fish supplies Jetty)",Diesel,Unknown
546,4-12-2011,Brisbane,Ship,Commercial,Port,"Brisbane Roads Anchorage, Moreton Bay",Diesel,2
547,7-12-2011,Brisbane ,Ship,Commercial,Port,"Cairnscross Wharf, Brisbane River",Diesel,20
548,8-12-2011,Mackay,Ship,Commercial,Port,Mackay Harbour - Southern end of Sugar Wharf,Diesel,1
549,9-12-2011,Brisbane,Unknown,Unknown,Port,"Pelican Slipway, Moreton Bay",Sheen,Unknown
550,12-12-2011,Gladstone,Ship,Commercial,Port,North Passage Island Channel,Hydraulic ,10
551,20-12-2011,Townsville,Ship,Recreational,Port,Ross Creek Boat Ramp pontoon,Sheen,3
552,22-12-2011,Mackay,Ship,Commercial,Coastal Waters,"East Dimond Inlet, Mackay",Sheen,Unknown
553,25-12-2011,Gladstone,Ship,Commercial,Port,Curtis Island side of Passage Island Channel - adjacent to North Passage Island,Hydraulic,10
554,19-01-2012,Mackay,Ship,Commercial,Port,Hay Point Expansion ,Hydraulic ,1
555,23-01-2012,Brisbane,Ship,Trading,Port,"Hamilton berth 4, Brisbane River",HFO,3000
556,6-02-2012,Mackay,Land,N-A,Port,Tug Harbour Hay Point,Sheen,Unknown
557,15-02-2012,Mackay,Ship,Commercial,Port,"Lease D, Hay Point",Hydraulic,1
558,1-03-2012,Gladstone,Ship,Recreational,Port,"Boat Club Marina, Urangan Boat Harbout, Hervey Bay",Diesel,Unknown
559,5-03-2012,Mackay,Ship,Commercial,Port,"Hay Point Expansion, HPE3",Sheen,2
560,9-03-2012,Mackay,Ship,Commercial,Port,Hay Point Expansion Zone.,Sheen,Unknown
561,14-03-2012,Gold Coast,Ship,Recreational,Port,Horizon Shores Marina Gold Coast,Diesel,Unknown
562,23-03-2012,Cairns,Unknown,Unknown,Port,Tropical Reef slipway. Past Cairns slipway . Smiths Creek,Diesel,Unknown
563,28-03-2012,Gladstone,Ship,Recreational,Port,Curtis Island side of Passage Island Channel - adjacent to North Passage Island,Hydraulic,Unknown
564,8-04-2012,Townsville,Ship,Commercial,Port,Berth 4 at Bulk Sugar Wharf Townsville,Diesel,2000
565,17-04-2012,Brisbane,Ship,Commercial,Port,Mooloolah River Mouth,Hydraulic,1
566,18-04-2012,Brisbane,Ship,Commercial,Port,"Maritime Solutions Slipway, Hamilton Reach, Brisbane River",Hydraulic ,4
567,24-04-2012,Brisbane,Unknown,Unknown,Port,"Seen from Aircraft, East of Redcliffe",Unknown,Unknown
568,30-04-2012,Gladstone,Ship,Commercial,Port,"Jacobs Channel, Curtis Island",Sheen,Unknown
569,30-04-2012,Mackay,Ship,Commercial,Port,Hay Point Expansion HPX3,Hydraulic ,15
570,3-05-2012,Brisbane,Land,N-A,Port,"Shell Service Station, 94 Breakfast Creek Road, Newstead", Petrol,2500
571,10-05-2012,Mackay,Unknown,Unknown,Port,Hay Point Half Tide Tug Harbour,Paint,1
572,15-05-2012,Townsville,Ship,Fishing,Port,Anchorage off Dalrymple Bay Bowen,Diesel,Unknown
573,24-05-2012,Gladstone,Ship,Commercial,Port,Curtis Island QCLNG Project: Off Load facility,Hydraulic ,2
574,2-06-2012,Gladstone,Ship,Commercial,Port,Curtis Island GLNG Marine Offload Facility,Hydraulic ,20
575,3-06-2012,Gladstone,Ship,Commercial,Port,RG Tanna Loadout Facility,Diesel,1
576,6-06-2012,Cairns,Ship,Commercial,Coastal Waters,Fitzroy Island Wharf,Diesel,100
577,13-06-2012,Gladstone,Ship,Commercial,Port,South China Bay,Hydraulic ,Unknown
578,29-06-2012,Townsville,Land,N-A,Port,BP bitumen plant Townsville Port,Heating ,3000
579,8-07-2012,Gladstone,Ship,Recreational,Port limits,Great Sandy Strait Marina Urangan,Bilge,2
580,10-07-2012,Brisbane,Unknown,Unknown,Coastal waters,Wurtulla beach Caloundra,HFO,Unknown
581,12-07-2012,Brisbane,Unknown,Unknown,Port limits,Aquarium Passage - Doboy Creek - Brisbane River,Diesel,20
582,12-07-2012,Townsville,Land,Unknown,Coastal waters,Lucinda Wharf,Diesel,5
583,14-07-2012,Gladstone,Unknown,Unknown,Port Limits,Fishermans Landing,Diesel,100
584,18-07-2012,Brisbane,Unknown,Unknown,Coastal waters,Scarborough Marina,Diesel,Unknown
585,21-07-2012,Gladstone,Unknown,Unknown,Coastal waters,Roslyn Bay Boat Harbour Entrance,Carbon from diesel engine,Unknown
586,23-07-2012,Hay Point,Ship,Commercial,Coastal waters,Hay Point Tug Harbour,Hydraulic Fluid,2
587,23-07-2012,Townsville,Unknown,Unknown,Coastal waters,"Enterprise Channel, Dungerness, Lucina",Diesel,50
588,27-07-2012,Townsville,Unknown,Unknown,Port limits,Ross Creek,Diesel,Unknown
589,2-08-2012,Gladstone,Ship,Commercial,Port limits,Behind Clinton wharf,Hydraulic Fluid,2
590,4-08-2012,Townsville,Unknown,Unknown,Port limits,Ross Creek near Townsville Yacht Club Marina,Diesel,Unknown
591,5-08-2012,Gladstone,Ship,Commercial,Port limits,North Passage Isl Gladstone Harbour,Hydraulic Fluid,5
592,13-08-2012,Gladstone,Ship,Commercial,Port limits,Middle Bank Quoin Anchorage,N-A,Unknown
593,14-08-2012,Brisbane,Unknown,Unknown,Coastal waters,Scarborough Marina,Diesel,20
594,17-08-2012,Cairns,Unknown,Unknown,Coastal waters,Weipa Anchorage area,HFO,Unknown
595,19-08-2012,Brisbane,Land,Unknown,Port limits,Brisbane River Hamilton wharfs,Palm acid oil,3000
596,21-08-2012,Brisbane,Unknown,Unknown,Coastal waters,Manly Boat Harbour,Sheen,Unknown
597,4-09-2012,Gladstone,Ship,Commercial,Port limits,Gladstone Harbour,Bilge,10
598,5-09-2012,Brisbane,Ship,Commercial,Port limits,Fisherman Island berth 9,Sheen,Unknown
599,11-09-2012,Townsville,Ship,Commercial,Port limits,Berth 10 Townsville Harbour,Hydraulic Fluid,2
600,16-09-2012,Mackay,Ship,Trading Ship,Port limits,Hay Point berth 3,Hydraulic Fluid,2
601,17-09-2012,Mackay,Ship,Commercial,Port limits,Mackay Boat Harbour,Diesel,1
602,1-10-2012,Gladstone,Unknown,Unknown,Coastal waters,Snapper Creek Tin Can Bay,Bilge,Unknown
603,5-10-2012,Mackay,Ship,Commercial,Coastal waters,Shute Harbour,Diesel,5
604,5-10-2012,Townsville,Ship,Commercial,Port limits,Berth 10 Townsville Harbour,Hydraulic Fluid,5
605,13-10-2012,Cairns,Ship,Commercial,Port limits,Trinity Wharf,Diesel,100
606,14-10-2012,Gladstone,Ship,Commercial,Port limits,Clinton Wharf,Hydraulic Fluid,10
607,15-10-2012,Gladstone,Land,N-A,Port limits,GLNG MOF Gladstone Harbour,sodium Hypochlorite,100
608,15-10-2012,Townsville,Ship,Commercial,Port limits,Berth 10 Townsville Harbour,Hydraulic Fluid,5
609,19-10-2012,Cairns,Unknown,Unknown,Port limits,Cairns fishman's base Smiths Creek,Bilge,20
610,19-10-2012,Mackay,Ship,Commercial,Coastal waters,Hay Point berth 3,Hydraulic Fluid,1
611,20-10-2012,Townsville,Ship,Commercial,Port limits,Berth 9,Sulphur,2000
612,22-10-2012,Gladstone,Ship,Commercial,Port limits,Sth Passage Island,Sewage & grey water,1500
613,24-10-2012,Brisbane,Ship,Recreational,Coastal waters,Raby bay,Unknown,Unknown
614,27-10-2012,Cairns,Ship,Unknown,Coastal waters,Gallon Reef,Unknown,Unknown
615,30-10-2012,Townsville,Ship,Commercial,Port limits,Berth 10 Townsville Harbour,Hydraulic Fluid,50
616,30-10-2012,Townsville,Ship,Commercial,Port limits,Berth 10 Townsville Harbour,Unknown,1
617,1-11-2012,Brisbane,Land,N-A,Coastal waters,Jabiru canal Newport,Sheen,Unknown
618,2-11-2012,Townsville,Ship,Commercial,Port limits,Berth 10 Townsville Harbour,Hydraulic Fluid,2
619,3-11-2012,Brisbane,Land,Unknown,Coastal waters,Tripcony Creek Golden Beach,Unknown,Unknown
620,9-11-2012,Brisbane,Ship,Recreational,Coastal waters,East Coast Marina Manly,Diesel,200
621,10-11-2012,Gladstone,Ship,Fishing,Port limits,Fishermans finger Gladstone Harbour,Diesel,30
622,12-11-2012,Mackay,Ship,N-A,Coastal waters,Black Island,Engine oil,10
623,21-11-2012,Cairns,Ship,Recreational,Coastal waters,Johnstone River Innisfail,Diesel,Unknown
624,22-11-2012,Gladstone,Unknown,Unknown,Port limits,Snapper Creek Tin Can Bay,Sheen,5
625,24-11-2012,Gladstone,Ship,Commercial,Port limits,China bay Curtis Island,Hydraulic Fluid,1
626,26-11-2012,Gladstone,Ship,Commercial,GBRMP,22Nm north of Sandy Cape,Ground food waste 1890 Kg,Unknown
627,1-12-2012,Mackay,Ship,Recreational,Port limits,Mackay Marina ,Diesel,20
628,15-12-2012,Townsville,Ship,Commercial,Port limits,Horseshoe Bay Magnetic Island,Hydraulic Fluid,10
629,16-12-2012,Cairns,Ship,N-A,Coastal waters,1Nm w Scardon River,Diesel,Unknown
630,1-01-2013,Brisbane,Unknown,N-A,Coastal waters,Mooloolah River Fisheries wharf,Diesel,Unknown
631,2-01-2013,Gladstone,Unknown,N-A,GBRMP,East of Bunker group,Sheen,Unknown
632,2-01-2013,Townsville,Ship,Recreational,Port limits,Townsville Breakwater anchorage,Sheen,Unknown
633,14-01-2013,Brisbane,Ship,Recreational,Coastal waters,"Dockside Marina, Brisbane River",Diesel,Unknown
634,17-01-2013,Cairns,Ship,Commercial,Port limits,"Trinity, Inlet Cairns",Diesel,20
635,22-01-2013,Cairns,Ship,Unknown,Port limits,"Marlin Marina, Cairns",Diesel,20
636,4-02-2013,Townsville,Unknown,N-A,Coastal waters,"Nelly Bay, Magnetic Island",Diesel,10
637,12-02-2013,Mackay,Ship,Commercial,Port limits,Hay Point,Hydraulic Fluid,0.5
638,21-02-2013,Cairns,Unknown,N-A,Port limits,"Smiths Creek, Cairns",Sheen,Unknown
639,21-02-2013,Cairns,Unknown,N-A,Port limits,"Smiths Creek, Cairns",Sheen,
640,22-02-2013,Mackay,Ship,Recreational,Coastal waters,Abel Point Marina,Diesel,15
641,24-02-2013,Gladstone,Land,N-A,Coastal waters,Rosslyn Bay Boat Harbour,Diesel,15
642,28-02-2013,Townsville,Ship,Commercial,Port limits,Townsville BERTH 10,Hydraulic Fluid,3
643,11-03-2013,Cairns,Land,N-A,Port limits,"Thursday Island, storm drain",Cooking oil,5
644,11-03-2013,Gladstone,Ship,Fishing,Coastal waters,Three Rocks south of Cape Manifold,Diesel,Unknown
645,14-03-2013,Cairns,Ship,Fishing,Port limits,"Trinity Inlet, Cairns",Hydraulic Fluid,1
646,14-03-2013,Gladstone,Land,N-A,Port limits,Gladstone Curtis LNG,Hydraulic Fluid,25
647,15-03-2013,Cairns,Ship,Commercial,Port limits,"Trinity Inlet, Cairns",Chemical (AFLCO),10
648,22-03-2013,Gladstone,Unknown,Unknown,Coastal waters,"Ross Creek, Yeppoon",Diesel,10
649,4-04-2013,Townsville,Ship,Commercial,Port limits,"Townsville Port, Berth 8",Hydraulic Fluid,5
650,6-04-2013,Townsville,Ship,Commercial,Port limits,Townsville Port,Hydraulic Fluid,3
651,10-04-2013,Gladstone,Ship,Recreational,Port limits,Tin Can Bay Marina,Diesel,0.3
652,11-04-2013,Cairns,Ship,Trading Ship,Port limits,"Trinity Inlet, Cairns",Hydraulic Fluid,1
653,11-04-2013,Gladstone,Land,N-A,Port limits,Curtis LNG,Hydraulic Fluid,1
654,18-04-2013,Gladstone,Land,N-A,Port limits,Curtis LNG,Hydraulic Fluid,0.1
655,27-04-2013,Brisbane,Ship,Commercial,Port limits,Brisbane Cruise Ship Terminal,Hydraulic Fluid,0.1
656,4-05-2013,Townsville,Ship,Commercial,Port limits,Port of Townsville ,Hydraulic Fluid,1
657,12-05-2013,Gladstone,Ship,Commercial,Port limits,Gladstone Harbour,Diesel,0.3
658,14-05-2013,Gladstone,Ship,Commercial,Port limits,Gladstone Harbour,Hydraulic Fluid,0.1
659,23-05-2013,Townsville,Ship,Commercial,Port limits,Townsville Port,Diesel,10
660,28-05-2013,Townsville,Ship,Commercial,Port limits,Townsville Port,Hydraulic Fluid,0.5
661,3-06-2013,Townsville,Ship,Commercial,Port limits,Townsville Port,Hydraulic Fluid,30
662,4-06-2013,Townsville,Ship,Commercial,Port limits,Townsville Port,Hydraulic Fluid,10
663,6-06-2013,Gladstone,Ship,Fishing,GBRMP,Lady Elliot Island,Diesel,Unknown
664,7-06-2013,Brisbane,Ship,Unknown,Coastal waters,"Rainbow Channel, Moreton Bay",Diesel,Unknown
665,10-06-2013,Gladstone,Land,N-A,Port limits,Curtis GLNG Project,Lanolin,1
666,10-06-2013,Townsville,Ship,Recreational,GBRMP,Magnetic Island Marina,Diesel,Unknown
667,18-06-2013,Cairns,Ship,Recreational,Coastal waters,"Meriden Marina and Dickson Inlet, Port Douglas",Diesel,Unknown
668,20-06-2013,Gladstone,Ship,Commercial,Port limits,Passage Island Channel Gladstone Harbour,Diesel,
669,20-06-2013,Gladstone,Ship,Commercial,Port limits,Wiggins Island Coal Terminal,Hydraulic Fluid,1
670,20-06-2013,Gladstone,Ship,Commercial,Port limits,Passage Island Channel Gladstone Harbour,Diesel,Unknown
671,21-06-2013,Cairns,Ship,Commercial,GBRMP,Frankland Islands,Diesel,50
672,30-06-2013,Brisbane,Land,N-A,Coastal waters,"Cabbage Tree Creek, Moreton bay",Diesel,Unknown
673,30-06-2013,Cairns,Unknown,N-A,Port limits,Cairns Cruising Yacht Club,Paint,Unknown
674,1-07-2013,Gladstone,Unknown,N-A,Port Limits,Gladstone Marina,Diesel,20
675,1-07-2013,Gladstone,Ship,Commercial,Port Limits,"QC4 Curtis Island, Offloading Ramp, Gladstone",Other (Hydraulic Oil),10
676,6-07-2013,Gladstone,Land,N-A,Port Limits,"Wiggins Island Coal Terminal, Gladstone",Sheen,Unknown
677,12-07-2013,Townsville,Unknown,N-A,Port Limits,"Ross Creek Berth 10, Townsville",Diesel,10
678,20-07-2013,Gladstone,Ship,Commercial,Port Limits,"Boyne Smelter Whalf, Gladstone Harbour, Gladstone",Other (Calcined Petroleum Coke),Unknown
679,22-07-2013,Townsville,Ship,N-A,Port Limits,"Harbour Marine Precinct, Townsville",Diesel,20
680,23-07-2013,Mackay,Ship,Recreational,Coastal Waters,"Airlie Beach Marina, Airlie Beach",Sheen,Unknown
681,25-07-2013,Brisbane,Unknown,N-A,Coastal Waters,Manly Boat Harbour,Diesel,10
682,26-07-2013,Brisbane,Ship,Fishing,Port Limits,"Raptis Fish Market, Brisbane River",Sheen,Unknown
683,28-07-2013,Brisbane,Unknown,N-A,Port Limits,"Fisherman Islands 11 and 12, Brisbane River",Other,Unknown
684,29-07-2013,Townsville,Ship,Commercial,Coastal Waters,"Boat Ramp, Palm Island",Other (Hydraulic Oil),3
685,2-08-2013,Gladstone,Ship,Recreational,Port Limits,"Urangan Harbour, Great Sandy Strait Marina, Hervey Bay",Sheen,Unknown
686,4-08-2013,Cairns,Unknown,N-A,Port Limits,"Marlin Marina, Cairns",Diesel,10
687,10-08-2013,Gladstone,Ship,Commercial,Port Limits,"Passage Island Channel, Gladstone",Other (Hydraulic Oil),10
688,8-09-2013,Cairns,Land,N-A,Port Limits,"Main Wharf, Thursday Island",Diesel,20
689,27-09-2013,Brisbane,Land,N-A,Coastal Waters,"Upstream end of Hamilton Reach, Brisbane River",Diesel,Unknown
690,27-09-2013,Gladstone,Ship,Recreational,Coastal Waters,"South Break wall, Rosslyn Bay Boat Ramp",Diesel,Unknown
691,27-09-2013,Gladstone,Unknown,N-A,Port Limits,"Sandy Strait Marina, Harvey Bay",Other,Unknown
692,3-10-2013,Cairns,Ship,Commercial,Coastal Waters,4 N-M SSE of cape Tribulation,Diesel,14000
