Id,Date,Region,Source,Ship Type,Area,Location,Pollutant,Estimated Litres
238,5-05-2005,Cairns,Ship,Unknown,Port,Thursday Island Harbour,Sheen,Unknown
239,11-05-2005,Brisbane,Unknown,Unknown,Port,"Cabbage Tree Creek, Sandgate",Diesel,Unknown
240,20-05-2005,Cairns,Ship,Unknown,Port,"Marlin Marina, Cairns",Bilge,Unknown
241,20-05-2005,Cairns,Unknown,Unknown,Coastal Waters,Port Douglas,Sheen,Unknown
242,2-06-2005,Brisbane,Unknown,Unknown,Port,"Cabbage Tree Creek, Sandgate",Sheen,Unknown
243,15-06-2005,Brisbane,Unknown,Unknown,Coastal Waters,"Petrie Bight, Brisbane River",Sheen,Unknown
244,20-06-2005,Brisbane,Unknown,Unknown,Port,Scarborough Harbour,Sheen,Unknown
245,29-06-2005,Brisbane,Land,Unknown,Port,"Fishermans Islands, Brisbane",Diesel,Unknown
246,17-07-2005,Cairns,Ship,Commercial,Port,Thursday Island Harbour,Diesel,180
247,10-08-2005,Cairns,Unknown,Unknown,Port,Marlin Marina Cairns,Fatty Substance,Unknown
248,16-08-2005,Brisbane,Ship,Recreational,Coastal Waters,Scarbrough Boat Harbour,Lubricating Oil,Unknown
249,24-08-2005,Gladstone,Ship,Commercial,Port,Gladstone Harbour,Diesel,Unknown
250,25-08-2005,Cairns,Ship,Commercial,Port,"Smiths Creek, Cairns",Bilge,Unknown
251,31-08-2005,Cairns,Ship,Commercial,Port,Thursday Island Main Wharf,Diesel,Unknown
252,21-09-2005,Cairns,Unknown,Unknown,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,Unknown
253,22-09-2005,Mackay,Unknown,Unknown,Port,Mackay Marina,Diesel,5
254,6-10-2005,Cairns,Ship,Recreational,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,Unknown
255,6-10-2005,Cairns,Ship,Commercial,Port,"No. 4 Wharf, Cairns",Bilge,5
256,7-10-2005,Cairns,Ship,Unknown,Coastal Waters,"Marina Mirage, Port Douglas",Bilge,Unknown
257,10-10-2005,Cairns,Ship,Recreational,Port,Mourilyan Harbour,Diesel,Unknown
258,10-10-2005,Townsville,Ship,Commercial,Port,"Berth 10, Townsville Harbour",HFO,Unknown
259,11-10-2005,Cairns,Unknown,Unknown,Port,Thursday Island Harbour,Diesel,Unknown
260,15-10-2005,Brisbane,Unknown,Unknown,Port,"Shaftston Reach, Brisbane River",Diesel,Unknown
261,20-10-2005,Cairns,Unknown,Unknown,Port,"Smiths Creek, Cairns",Bilge,20
262,23-10-2005,Gladstone,Ship,Recreational,Coastal Waters,"Fitzroy River, Rockhampton",Diesel,Unknown
263,28-10-2005,Cairns,Ship,Unknown,Port,"Marina Mirage, Port Douglas",Bilge,Unknown
264,28-10-2005,Cairns,Ship,Fishing,Coastal Waters,"Mulgrave River, Deeral",Bilge,Unknown
265,7-11-2005,Cairns,Ship,Commercial,Coastal Waters,Armistice Reef,Bilge,Unknown
266,8-11-2005,Cairns,Unknown,Unknown,Port,Marlin Marina Cairns,Sheen,Unknown
267,14-11-2005,Cairns,Unknown,Unknown,Port,Marlin Marina Cairns,Diesel,10
268,4-12-2005,Cairns,Unknown,Unknown,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,Unknown
269,7-12-2005,Cairns,Unknown,Unknown,Port,"Commercial Fishermans Base 2, Smiths Creek, Cairns",Sheen,Unknown
270,31-12-2005,Cairns,Ship,Recreational,Coastal Waters,"Marina Mirage, Port Douglas",Petrol,Unknown
271,16-01-2006,Gladstone,Ship,Commercial,Port,Bunker oil spill from Larcom in Gladstone,HFO,1000
272,20-01-2006,Gladstone,Ship,Fishing,Territorial Sea,Fire on trawler 28nm NNE Cape Capricorn,Diesel,3000
273,6-03-2006,Cairns,Ship,Commercial,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,Unknown
274,31-03-2006,Cairns,Unknown,Unknown,Port,"Commercial Fishermans Base 2, Smiths Creek, Cairns",Bilge,20
