------------------------------------------------------------------------------------
| id    | date         | region       | pollutant                     | estimated  |
| "953" | "2/05/2018"  | "Gladstone"  | "Diesel"                      | "20"       |
| "508" | "15/03/2011" | "Cairns"     | "Vegetable"                   | "20"       |
| "908" | "16/05/2017" | "Cairns"     | "Other (lubricant oil)"       | "1"        |
| "448" | "15/07/2009" | "Townsville" | "Lubricating"                 | "200"      |
| "746" | "4/07/2014"  | "Cairns"     | "Diesel"                      | "1"        |
| "709" | "9/12/2013"  | "Mackay"     | "Bilge"                       | "5"        |
| "170" | "29/07/2004" | "Cairns"     | "Sheen"                       | "50"       |
| "434" | "1/02/2009"  | "Gladstone"  | "Diesel"                      | "20"       |
| "720" | "5/02/2014"  | "Cairns"     | "Bilge"                       | "10"       |
| "438" | "27/02/2009" | "Gladstone"  | "Diesel"                      | "1000"     |
| "921" | "4/10/2017"  | "Gladstone"  | "Sump Oil"                    | "4"        |
| "456" | "23/10/2009" | "Townsville" | "Hydraulic "                  | "50"       |
| "926" | "21/10/2017" | "Cairns"     | "Diesel"                      | "2"        |
| "854" | "23/07/2016" | "Cairns"     | "Bilge"                       | "15"       |
| "811" | "3/12/2015"  | "Brisbane"   | "Bilge"                       | "15"       |
| "883" | "25/12/2016" | "Cairns"     | "Diesel"                      | "600"      |
| "696" | "6/11/2013"  | "Mackay"     | "Diesel"                      | "10"       |
| "381" | "14/03/2008" | "Mackay"     | "Bilge"                       | "25"       |
| "275" | "13/04/2006" | "Cairns"     | "Bilge"                       | "20"       |
| "346" | "20/08/2007" | "Brisbane"   | "Diesel"                      | "1"        |
| "523" | "10/07/2011" | "Mackay"     | "Hydraulic "                  | "2"        |
| "624" | "22/11/2012" | "Gladstone"  | "Sheen"                       | "5"        |
| "372" | "15/01/2008" | "Cairns"     | "Diesel"                      | "10"       |
| "342" | "22/07/2007" | "Townsville" | "Lube Oil"                    | "30"       |
| "583" | "14/07/2012" | "Gladstone"  | "Diesel"                      | "100"      |
| "272" | "20/01/2006" | "Gladstone"  | "Diesel"                      | "3000"     |
| "409" | "13/08/2008" | "Mackay"     | "Diesel"                      | "10"       |
| "939" | "5/12/2017"  | "Mackay"     | "Diesel"                      | "50"       |
| "394" | "28/05/2008" | "Townsville" | "Hydraulic oil"               | "1"        |
| "225" | "24/02/2005" | "Cairns"     | "Diesel"                      | "300"      |
| "650" | "6/04/2013"  | "Townsville" | "Hydraulic Fluid"             | "3"        |
| "217" | "31/01/2005" | "Brisbane"   | "Diesel"                      | "50"       |
| "616" | "30/10/2012" | "Townsville" | "Unknown"                     | "1"        |
| "889" | "31/01/2017" | "Mackay"     | "Other (Engine Oil)"          | "8"        |
| "945" | "8/02/2018"  | "Cairns"     | "Sheen"                       | "1"        |
| "198" | "22/10/2004" | "Brisbane"   | "Bilge"                       | "500"      |
| "948" | "28/03/2018" | "Brisbane"   | "Sheen"                       | "20"       |
| "686" | "4/08/2013"  | "Cairns"     | "Diesel"                      | "10"       |
| "958" | "25/05/2018" | "Brisbane"   | "Sheen"                       | "1.5"      |
| "942" | "18/01/2018" | "Brisbane"   | "Diesel"                      | "0.5"      |
| "469" | "23/02/2010" | "Brisbane"   | "Diesel"                      | "8"        |
| "784" | "11/05/2015" | "Brisbane"   | "Diesel"                      | "1000"     |
| "903" | "21/03/2017" | "Cairns"     | "Diesel"                      | "2"        |
| "655" | "27/04/2013" | "Brisbane"   | "Hydraulic Fluid"             | "0.1"      |
| "821" | "2/02/2016"  | "Mackay"     | "ULP"                         | "70"       |
| "396" | "17/06/2008" | "Gladstone"  | "Diesel"                      | "77"       |
| "886" | "5/01/2017"  | "Cairns"     | "Other (Hydraulic Oil)"       | "1.5"      |
| "601" | "17/09/2012" | "Mackay"     | "Diesel"                      | "1"        |
| "809" | "28/11/2015" | "Cairns"     | "Diesel"                      | "50"       |
| "918" | "6/09/2017"  | "Townsville" | "Molasses"                    | "50"       |
| "734" | "22/04/2014" | "Brisbane"   | "Diesel"                      | "20"       |
| "725" | "8/03/2014"  | "Cairns"     | "Diesel"                      | "20"       |
| "230" | "30/03/2005" | "Cairns"     | "Diesel"                      | "10"       |
| "496" | "8/12/2010"  | "Cairns"     | "Diesel"                      | "120"      |
| "482" | "23/07/2010" | "Brisbane"   | "HFO"                         | "30"       |
| "521" | "21/06/2011" | "Cairns"     | "Diesel"                      | "10"       |
| "960" | "2/06/2018"  | "Mackay"     | "Sheen"                       | "2.5"      |
| "752" | "18/07/2014" | "Gladstone"  | "Diesel"                      | "150"      |
| "917" | "3/09/2017"  | "Brisbane"   | "Lubrication oil"             | "0.3"      |
| "190" | "6/10/2004"  | "Cairns"     | "Bilge"                       | "40"       |
| "462" | "5/01/2010"  | "Mackay"     | "HFO"                         | "50"       |
| "756" | "21/08/2014" | "Brisbane"   | "Other (Emulsion)"            | "20"       |
| "604" | "5/10/2012"  | "Townsville" | "Hydraulic Fluid"             | "5"        |
| "491" | "2/11/2010"  | "Brisbane"   | "Hydraulic"                   | "10"       |
| "634" | "17/01/2013" | "Cairns"     | "Diesel"                      | "20"       |
| "804" | "7/10/2015"  | "Gladstone"  | "Diesel"                      | "1"        |
| "443" | "22/06/2009" | "Cairns"     | "Diesel"                      | "2000"     |
| "640" | "22/02/2013" | "Mackay"     | "Diesel"                      | "15"       |
| "609" | "19/10/2012" | "Cairns"     | "Bilge"                       | "20"       |
| "287" | "17/08/2006" | "Gladstone"  | "Other - Lube "               | "25"       |
| "742" | "2/06/2014"  | "Brisbane"   | "Other (Hydraulic Oil)"       | "10"       |
| "452" | "18/09/2009" | "Brisbane"   | "HFO"                         | "5"        |
| "747" | "8/07/2014"  | "Cairns"     | "Diesel"                      | "20"       |
| "182" | "7/09/2004"  | "Brisbane"   | "Other"                       | "40"       |
| "582" | "12/07/2012" | "Townsville" | "Diesel"                      | "5"        |
| "935" | "19/11/2017" | "Brisbane"   | "Unleaded Petrol"             | "10"       |
| "374" | "21/01/2008" | "Brisbane"   | "Diesel"                      | "20"       |
| "645" | "14/03/2013" | "Cairns"     | "Hydraulic Fluid"             | "1"        |
| "267" | "14/11/2005" | "Cairns"     | "Diesel"                      | "10"       |
| "380" | "8/03/2008"  | "Brisbane"   | "Diesel"                      | "5"        |
| "899" | "10/03/2017" | "Mackay"     | "Diesel"                      | "40"       |
| "963" | "28/06/2018" | "Townsville" | "Oil"                         | "2"        |
| "625" | "24/11/2012" | "Gladstone"  | "Hydraulic Fluid"             | "1"        |
| "546" | "4/12/2011"  | "Brisbane"   | "Diesel"                      | "2"        |
| "539" | "23/10/2011" | "Cairns"     | "Diesel"                      | "400"      |
| "738" | "4/05/2014"  | "Cairns"     | "Other (Hydraulic Oil)"       | "250"      |
| "863" | "14/09/2016" | "Gladstone"  | "Other (sewage)"              | "20"       |
| "761" | "15/09/2014" | "Mackay"     | "Diesel"                      | "1"        |
| "565" | "17/04/2012" | "Brisbane"   | "Hydraulic"                   | "1"        |
| "961" | "3/06/2018"  | "Brisbane"   | "Sheen"                       | "4"        |
| "555" | "23/01/2012" | "Brisbane"   | "HFO"                         | "3000"     |
| "765" | "26/09/2014" | "Bundaberg"  | "Hydraulic Oil"               | "25"       |
| "591" | "5/08/2012"  | "Gladstone"  | "Hydraulic Fluid"             | "5"        |
| "875" | "5/11/2016"  | "Cairns"     | "Diesel"                      | "20"       |
| "621" | "10/11/2012" | "Gladstone"  | "Diesel"                      | "30"       |
| "795" | "14/08/2015" | "Mackay"     | "Bilge"                       | "2"        |
| "559" | "5/03/2012"  | "Mackay"     | "Sheen"                       | "2"        |
| "699" | "12/11/2013" | "Cairns"     | "Bilge"                       | "10"       |
| "599" | "11/09/2012" | "Townsville" | "Hydraulic Fluid"             | "2"        |
| "679" | "22/07/2013" | "Townsville" | "Diesel"                      | "20"       |
| "253" | "22/09/2005" | "Mackay"     | "Diesel"                      | "5"        |
| "463" | "9/01/2010"  | "Brisbane"   | "HFO"                         | "20"       |
| "820" | "2/02/2016"  | "Brisbane"   | "Diesel"                      | "100"      |
| "337" | "29/05/2007" | "Brisbane"   | "Bilge"                       | "10"       |
| "332" | "21/05/2007" | "Brisbane"   | "Other - Hydraulic"           | "7"        |
| "855" | "25/07/2016" | "Brisbane"   | "Other (Hydraulic Oil)"       | "10"       |
| "389" | "26/04/2008" | "Gladstone"  | "Diesel"                      | "300"      |
| "859" | "2/09/2016"  | "Gladstone"  | "Other (Coal Slurry)"         | "10"       |
| "870" | "18/10/2016" | "Gladstone"  | "Other (Hydraulic Oil)"       | "5"        |
| "345" | "18/08/2007" | "Brisbane"   | "Diesel"                      | "3"        |
| "628" | "15/12/2012" | "Townsville" | "Hydraulic Fluid"             | "10"       |
| "938" | "3/12/2017"  | "Brisbane"   | "Hydraulic Oil"               | "1"        |
| "529" | "16/08/2011" | "Gladstone"  | "Engine "                     | "10"       |
| "255" | "6/10/2005"  | "Cairns"     | "Bilge"                       | "5"        |
| "936" | "20/11/2017" | "Cairns"     | "Diesel"                      | "0.1"      |
| "606" | "14/10/2012" | "Gladstone"  | "Hydraulic Fluid"             | "10"       |
| "962" | "13/06/2018" | "Gladstone"  | "Sheen"                       | "12"       |
| "169" | "27/07/2004" | "Cairns"     | "Bilge"                       | "20"       |
| "186" | "28/09/2004" | "Cairns"     | "Bilge"                       | "60"       |
| "576" | "6/06/2012"  | "Cairns"     | "Diesel"                      | "100"      |
| "955" | "8/05/2018"  | "Cairns"     | "Diesel"                      | "10"       |
| "931" | "10/11/2017" | "Townsville" | "Oil"                         | "0.25"     |
| "803" | "22/09/2015" | "Townsville" | "Hydraulic oil"               | "20"       |
| "322" | "13/03/2007" | "Brisbane"   | "Diesel"                      | "3"        |
| "660" | "28/05/2013" | "Townsville" | "Hydraulic Fluid"             | "0.5"      |
| "708" | "5/12/2013"  | "Townsville" | "HFO"                         | "100"      |
| "654" | "18/04/2013" | "Gladstone"  | "Hydraulic Fluid"             | "0.1"      |
| "658" | "14/05/2013" | "Gladstone"  | "Hydraulic Fluid"             | "0.1"      |
| "933" | "16/11/2017" | "Brisbane"   | "Hydraulic Oil"               | "10"       |
| "447" | "13/07/2009" | "Mackay"     | "Lubricating"                 | "10"       |
| "684" | "29/07/2013" | "Townsville" | "Other (Hydraulic Oil)"       | "3"        |
| "837" | "28/05/2016" | "Gladstone"  | "Other (Hydraulic oil)"       | "10"       |
| "282" | "27/06/2006" | "Gold Coast" | "Lubricating Oil"             | "75"       |
| "940" | "21/12/2017" | "Gladstone"  | "Diesel"                      | "200"      |
| "468" | "16/02/2010" | "Townsville" | "Sheen"                       | "10"       |
| "340" | "10/07/2007" | "Townsville" | "Diesel"                      | "200"      |
| "834" | "3/05/2016"  | "Townsville" | "Diesel"                      | "100"      |
| "216" | "29/12/2004" | "Cairns"     | "Sheen"                       | "300"      |
| "618" | "2/11/2012"  | "Townsville" | "Hydraulic Fluid"             | "2"        |
| "846" | "2/07/2016"  | "Brisbane"   | "Diesel"                      | "100"      |
| "352" | "11/09/2007" | "Mackay"     | "Diesel"                      | "7000"     |
| "533" | "12/09/2011" | "Mackay"     | "Hydraulic "                  | "2"        |
| "593" | "14/08/2012" | "Brisbane"   | "Diesel"                      | "20"       |
| "705" | "25/11/2013" | "Townsville" | "Diesel"                      | "2"        |
| "718" | "29/01/2014" | "Brisbane"   | "Diesel"                      | "2000"     |
| "246" | "17/07/2005" | "Cairns"     | "Diesel"                      | "180"      |
| "817" | "5/01/2016"  | "Townsville" | "Diesel"                      | "60"       |
| "550" | "12/12/2011" | "Gladstone"  | "Hydraulic "                  | "10"       |
| "622" | "12/11/2012" | "Mackay"     | "Engine oil"                  | "10"       |
| "751" | "18/07/2014" | "Brisbane"   | "Hydraulic Oil"               | "100"      |
| "841" | "8/06/2016"  | "Cairns"     | "Diesel"                      | "5"        |
| "829" | "7/04/2016"  | "Brisbane"   | "Diesel"                      | "15"       |
| "932" | "14/11/2017" | "Brisbane"   | "Oil"                         | "10"       |
| "671" | "21/06/2013" | "Cairns"     | "Diesel"                      | "50"       |
| "501" | "11/02/2011" | "Gladstone"  | "Diesel"                      | "15"       |
| "611" | "20/10/2012" | "Townsville" | "Sulphur"                     | "2000"     |
| "764" | "24/09/2014" | "Cairns"     | "Diesel"                      | "1"        |
| "415" | "13/10/2008" | "Brisbane"   | "HFO"                         | "100"      |
| "760" | "9/09/2014"  | "Gladstone"  | "Other (Panolin)"             | "1"        |
| "652" | "11/04/2013" | "Cairns"     | "Hydraulic Fluid"             | "1"        |
| "635" | "22/01/2013" | "Cairns"     | "Diesel"                      | "20"       |
| "860" | "9/09/2016"  | "Cairns"     | "Diesel"                      | "20"       |
| "442" | "15/06/2009" | "Cairns"     | "Diesel"                      | "200"      |
| "608" | "15/10/2012" | "Townsville" | "Hydraulic Fluid"             | "5"        |
| "951" | "20/04/2018" | "Brisbane"   | "Soot"                        | "0.5"      |
| "643" | "11/03/2013" | "Cairns"     | "Cooking oil"                 | "5"        |
| "895" | "18/02/2017" | "Townsville" | "Other (Hydraulic Oil)"       | "1"        |
| "937" | "27/11/2017" | "Mackay"     | "Grease"                      | "5"        |
| "637" | "12/02/2013" | "Mackay"     | "Hydraulic Fluid"             | "0.5"      |
| "498" | "8/01/2011"  | "Gladstone"  | "Hydraulic"                   | "10"       |
| "173" | "30/07/2004" | "Cairns"     | "Bilge"                       | "5"        |
| "411" | "2/09/2008"  | "Townsville" | "Diesel"                      | "300"      |
| "581" | "12/07/2012" | "Brisbane"   | "Diesel"                      | "20"       |
| "703" | "15/11/2013" | "Cairns"     | "Diesel"                      | "10"       |
| "688" | "8/09/2013"  | "Cairns"     | "Diesel"                      | "20"       |
| "589" | "2/08/2012"  | "Gladstone"  | "Hydraulic Fluid"             | "2"        |
| "902" | "18/03/2017" | "Brisbane"   | "HFO"                         | "500"      |
| "946" | "21/03/2018" | "Cairns"     | "Diesel"                      | "100"      |
| "564" | "8/04/2012"  | "Townsville" | "Diesel"                      | "2000"     |
| "830" | "7/04/2016"  | "Cairns"     | "Diesel"                      | "20"       |
